0003|add [rbx],al
480faf0b|imul rcx,[rbx]
480faf0c24|imul rcx,[rsp]
480faf0c2500000000|imul rcx,[0x0]
480faf0e|imul rcx,[rsi]
480faf0f|imul rcx,[rdi]
480faf1b|imul rbx,[rbx]
480faf1c24|imul rbx,[rsp]
480faf1c2500000000|imul rbx,[0x0]
480faf1e|imul rbx,[rsi]
480faf1f|imul rbx,[rdi]
480faf23|imul rsp,[rbx]
480faf2424|imul rsp,[rsp]
480faf242500000000|imul rsp,[0x0]
480faf26|imul rsp,[rsi]
480faf27|imul rsp,[rdi]
480faf2b|imul rbp,[rbx]
480faf2c24|imul rbp,[rsp]
480faf2c2500000000|imul rbp,[0x0]
480faf2e|imul rbp,[rsi]
480faf2f|imul rbp,[rdi]
480faf33|imul rsi,[rbx]
480faf3424|imul rsi,[rsp]
480faf342500000000|imul rsi,[0x0]
480faf36|imul rsi,[rsi]
480faf37|imul rsi,[rdi]
480faf3b|imul rdi,[rbx]
480faf3c24|imul rdi,[rsp]
480faf3c2500000000|imul rdi,[0x0]
480faf3e|imul rdi,[rsi]
480faf3f|imul rdi,[rdi]
480faf4500|imul rax,[rbp]
480faf4d00|imul rcx,[rbp]
480faf5d00|imul rbx,[rbp]
480faf6500|imul rsp,[rbp]
480faf6d00|imul rbp,[rbp]
480faf7500|imul rsi,[rbp]
480faf7d00|imul rdi,[rbp]
480fafc0|imul rax,rax
480fafc1|imul rax,rcx
480fafc3|imul rax,rbx
480fafc4|imul rax,rsp
480fafc5|imul rax,rbp
480fafc6|imul rax,rsi
480fafc7|imul rax,rdi
480fafc8|imul rcx,rax
480fafc9|imul rcx,rcx
480fafcb|imul rcx,rbx
480fafcc|imul rcx,rsp
480fafcd|imul rcx,rbp
480fafce|imul rcx,rsi
480fafcf|imul rcx,rdi
480fafd8|imul rbx,rax
480fafd9|imul rbx,rcx
480fafdb|imul rbx,rbx
480fafdc|imul rbx,rsp
480fafdd|imul rbx,rbp
480fafde|imul rbx,rsi
480fafdf|imul rbx,rdi
480fafe0|imul rsp,rax
480fafe1|imul rsp,rcx
480fafe3|imul rsp,rbx
480fafe4|imul rsp,rsp
480fafe5|imul rsp,rbp
480fafe6|imul rsp,rsi
480fafe7|imul rsp,rdi
480fafe8|imul rbp,rax
480fafe9|imul rbp,rcx
480fafeb|imul rbp,rbx
480fafec|imul rbp,rsp
480fafed|imul rbp,rbp
480fafee|imul rbp,rsi
480fafef|imul rbp,rdi
480faff0|imul rsi,rax
480faff1|imul rsi,rcx
480faff3|imul rsi,rbx
480faff4|imul rsi,rsp
480faff5|imul rsi,rbp
480faff6|imul rsi,rsi
480faff7|imul rsi,rdi
480faff8|imul rdi,rax
480faff9|imul rdi,rcx
480faffb|imul rdi,rbx
480faffc|imul rdi,rsp
480faffd|imul rdi,rbp
480faffe|imul rdi,rsi
480fafff|imul rdi,rdi
480fb203|lss rax,[rbx]
480fb20424|lss rax,[rsp]
480fb2042500000000|lss rax,[0x0]
480fb206|lss rax,[rsi]
480fb207|lss rax,[rdi]
480fb20b|lss rcx,[rbx]
480fb20c24|lss rcx,[rsp]
480fb20c2500000000|lss rcx,[0x0]
480fb20e|lss rcx,[rsi]
480fb20f|lss rcx,[rdi]
480fb21b|lss rbx,[rbx]
480fb21c24|lss rbx,[rsp]
480fb21c2500000000|lss rbx,[0x0]
480fb21e|lss rbx,[rsi]
480fb21f|lss rbx,[rdi]
480fb223|lss rsp,[rbx]
480fb22424|lss rsp,[rsp]
480fb2242500000000|lss rsp,[0x0]
480fb226|lss rsp,[rsi]
480fb227|lss rsp,[rdi]
480fb22b|lss rbp,[rbx]
480fb22c24|lss rbp,[rsp]
480fb22c2500000000|lss rbp,[0x0]
480fb22e|lss rbp,[rsi]
480fb22f|lss rbp,[rdi]
480fb233|lss rsi,[rbx]
480fb23424|lss rsi,[rsp]
480fb2342500000000|lss rsi,[0x0]
480fb236|lss rsi,[rsi]
480fb237|lss rsi,[rdi]
480fb23b|lss rdi,[rbx]
480fb23c24|lss rdi,[rsp]
480fb23c2500000000|lss rdi,[0x0]
480fb23e|lss rdi,[rsi]
480fb23f|lss rdi,[rdi]
480fb24500|lss rax,[rbp]
480fb24d00|lss rcx,[rbp]
480fb25d00|lss rbx,[rbp]
480fb26500|lss rsp,[rbp]
480fb26d00|lss rbp,[rbp]
480fb27500|lss rsi,[rbp]
480fb27d00|lss rdi,[rbp]
480fb303|btr [rbx],rax
480fb30424|btr [rsp],rax
480fb3042500000000|btr [0x0],rax
480fb306|btr [rsi],rax
480fb307|btr [rdi],rax
480fb30b|btr [rbx],rcx
480fb30c24|btr [rsp],rcx
480fb30c2500000000|btr [0x0],rcx
480fb30e|btr [rsi],rcx
480fb30f|btr [rdi],rcx
480fb31b|btr [rbx],rbx
480fb31c24|btr [rsp],rbx
480fb31c2500000000|btr [0x0],rbx
480fb31e|btr [rsi],rbx
480fb31f|btr [rdi],rbx
480fb323|btr [rbx],rsp
480fb32424|btr [rsp],rsp
480fb3242500000000|btr [0x0],rsp
480fb326|btr [rsi],rsp
480fb327|btr [rdi],rsp
480fb32b|btr [rbx],rbp
480fb32c24|btr [rsp],rbp
480fb32c2500000000|btr [0x0],rbp
480fb32e|btr [rsi],rbp
480fb32f|btr [rdi],rbp
480fb333|btr [rbx],rsi
480fb33424|btr [rsp],rsi
480fb3342500000000|btr [0x0],rsi
480fb336|btr [rsi],rsi
480fb337|btr [rdi],rsi
480fb33b|btr [rbx],rdi
480fb33c24|btr [rsp],rdi
480fb33c2500000000|btr [0x0],rdi
480fb33e|btr [rsi],rdi
480fb33f|btr [rdi],rdi
480fb34500|btr [rbp],rax
480fb34d00|btr [rbp],rcx
480fb35d00|btr [rbp],rbx
480fb36500|btr [rbp],rsp
480fb36d00|btr [rbp],rbp
480fb37500|btr [rbp],rsi
480fb37d00|btr [rbp],rdi
480fb3c0|btr rax,rax
480fb3c1|btr rcx,rax
480fb3c3|btr rbx,rax
480fb3c4|btr rsp,rax
480fb3c5|btr rbp,rax
480fb3c6|btr rsi,rax
480fb3c7|btr rdi,rax
480fb3c8|btr rax,rcx
480fb3c9|btr rcx,rcx
480fb3cb|btr rbx,rcx
480fb3cc|btr rsp,rcx
480fb3cd|btr rbp,rcx
480fb3ce|btr rsi,rcx
480fb3cf|btr rdi,rcx
480fb3d8|btr rax,rbx
480fb3d9|btr rcx,rbx
480fb3db|btr rbx,rbx
480fb3dc|btr rsp,rbx
480fb3dd|btr rbp,rbx
480fb3de|btr rsi,rbx
480fb3df|btr rdi,rbx
480fb3e0|btr rax,rsp
480fb3e1|btr rcx,rsp
480fb3e3|btr rbx,rsp
480fb3e4|btr rsp,rsp
480fb3e5|btr rbp,rsp
480fb3e6|btr rsi,rsp
480fb3e7|btr rdi,rsp
480fb3e8|btr rax,rbp
480fb3e9|btr rcx,rbp
480fb3eb|btr rbx,rbp
480fb3ec|btr rsp,rbp
480fb3ed|btr rbp,rbp
480fb3ee|btr rsi,rbp
480fb3ef|btr rdi,rbp
480fb3f0|btr rax,rsi
480fb3f1|btr rcx,rsi
480fb3f3|btr rbx,rsi
480fb3f4|btr rsp,rsi
480fb3f5|btr rbp,rsi
480fb3f6|btr rsi,rsi
480fb3f7|btr rdi,rsi
480fb3f8|btr rax,rdi
480fb3f9|btr rcx,rdi
480fb3fb|btr rbx,rdi
480fb3fc|btr rsp,rdi
480fb3fd|btr rbp,rdi
480fb3fe|btr rsi,rdi
480fb3ff|btr rdi,rdi
480fb403|lfs rax,[rbx]
480fb40424|lfs rax,[rsp]
480fb4042500000000|lfs rax,[0x0]
480fb406|lfs rax,[rsi]
480fb407|lfs rax,[rdi]
480fb40b|lfs rcx,[rbx]
480fb40c24|lfs rcx,[rsp]
480fb40c2500000000|lfs rcx,[0x0]
480fb40e|lfs rcx,[rsi]
480fb40f|lfs rcx,[rdi]
480fb41b|lfs rbx,[rbx]
480fb41c24|lfs rbx,[rsp]
480fb41c2500000000|lfs rbx,[0x0]
480fb41e|lfs rbx,[rsi]
480fb41f|lfs rbx,[rdi]
480fb423|lfs rsp,[rbx]
480fb42424|lfs rsp,[rsp]
480fb4242500000000|lfs rsp,[0x0]
480fb426|lfs rsp,[rsi]
480fb427|lfs rsp,[rdi]
480fb42b|lfs rbp,[rbx]
480fb42c24|lfs rbp,[rsp]
480fb42c2500000000|lfs rbp,[0x0]
480fb42e|lfs rbp,[rsi]
480fb42f|lfs rbp,[rdi]
480fb433|lfs rsi,[rbx]
480fb43424|lfs rsi,[rsp]
480fb4342500000000|lfs rsi,[0x0]
480fb436|lfs rsi,[rsi]
480fb437|lfs rsi,[rdi]
480fb43b|lfs rdi,[rbx]
480fb43c24|lfs rdi,[rsp]
480fb43c2500000000|lfs rdi,[0x0]
480fb43e|lfs rdi,[rsi]
480fb43f|lfs rdi,[rdi]
480fb44500|lfs rax,[rbp]
480fb44d00|lfs rcx,[rbp]
480fb45d00|lfs rbx,[rbp]
480fb46500|lfs rsp,[rbp]
480fb46d00|lfs rbp,[rbp]
480fb47500|lfs rsi,[rbp]
480fb47d00|lfs rdi,[rbp]
480fb503|lgs rax,[rbx]
480fb50424|lgs rax,[rsp]
480fb5042500000000|lgs rax,[0x0]
480fb506|lgs rax,[rsi]
480fb507|lgs rax,[rdi]
480fb50b|lgs rcx,[rbx]
480fb50c24|lgs rcx,[rsp]
480fb50c2500000000|lgs rcx,[0x0]
480fb50e|lgs rcx,[rsi]
480fb50f|lgs rcx,[rdi]
480fb51b|lgs rbx,[rbx]
480fb51c24|lgs rbx,[rsp]
480fb51c2500000000|lgs rbx,[0x0]
480fb51e|lgs rbx,[rsi]
480fb51f|lgs rbx,[rdi]
480fb523|lgs rsp,[rbx]
480fb52424|lgs rsp,[rsp]
480fb5242500000000|lgs rsp,[0x0]
480fb526|lgs rsp,[rsi]
480fb527|lgs rsp,[rdi]
480fb52b|lgs rbp,[rbx]
480fb52c24|lgs rbp,[rsp]
480fb52c2500000000|lgs rbp,[0x0]
480fb52e|lgs rbp,[rsi]
480fb52f|lgs rbp,[rdi]
480fb533|lgs rsi,[rbx]
480fb53424|lgs rsi,[rsp]
480fb5342500000000|lgs rsi,[0x0]
480fb536|lgs rsi,[rsi]
480fb537|lgs rsi,[rdi]
480fb53b|lgs rdi,[rbx]
480fb53c24|lgs rdi,[rsp]
480fb53c2500000000|lgs rdi,[0x0]
480fb53e|lgs rdi,[rsi]
480fb53f|lgs rdi,[rdi]
480fb54500|lgs rax,[rbp]
480fb54d00|lgs rcx,[rbp]
480fb55d00|lgs rbx,[rbp]
480fb56500|lgs rsp,[rbp]
480fb56d00|lgs rbp,[rbp]
480fb57500|lgs rsi,[rbp]
480fb57d00|lgs rdi,[rbp]
480fb6c0|movzx rax,al
480fb6c1|movzx rax,cl
480fb6c2|movzx rax,dl
480fb6c3|movzx rax,bl
480fb6c8|movzx rcx,al
480fb6c9|movzx rcx,cl
480fb6ca|movzx rcx,dl
480fb6cb|movzx rcx,bl
480fb6d8|movzx rbx,al
480fb6d9|movzx rbx,cl
480fb6da|movzx rbx,dl
480fb6db|movzx rbx,bl
480fb6e0|movzx rsp,al
480fb6e1|movzx rsp,cl
480fb6e2|movzx rsp,dl
480fb6e3|movzx rsp,bl
480fb6e8|movzx rbp,al
480fb6e9|movzx rbp,cl
480fb6ea|movzx rbp,dl
480fb6eb|movzx rbp,bl
480fb6f0|movzx rsi,al
480fb6f1|movzx rsi,cl
480fb6f2|movzx rsi,dl
480fb6f3|movzx rsi,bl
480fb6f8|movzx rdi,al
480fb6f9|movzx rdi,cl
480fb6fa|movzx rdi,dl
480fb6fb|movzx rdi,bl
480fb7c0|movzx rax,ax
480fb7c1|movzx rax,cx
480fb7c2|movzx rax,dx
480fb7c3|movzx rax,bx
480fb7c4|movzx rax,sp
480fb7c5|movzx rax,bp
480fb7c6|movzx rax,si
480fb7c7|movzx rax,di
480fb7c8|movzx rcx,ax
480fb7c9|movzx rcx,cx
480fb7ca|movzx rcx,dx
480fb7cb|movzx rcx,bx
480fb7cc|movzx rcx,sp
480fb7cd|movzx rcx,bp
480fb7ce|movzx rcx,si
480fb7cf|movzx rcx,di
480fb7d8|movzx rbx,ax
480fb7d9|movzx rbx,cx
480fb7da|movzx rbx,dx
480fb7db|movzx rbx,bx
480fb7dc|movzx rbx,sp
480fb7dd|movzx rbx,bp
480fb7de|movzx rbx,si
480fb7df|movzx rbx,di
480fb7e0|movzx rsp,ax
480fb7e1|movzx rsp,cx
480fb7e2|movzx rsp,dx
480fb7e3|movzx rsp,bx
480fb7e4|movzx rsp,sp
480fb7e5|movzx rsp,bp
480fb7e6|movzx rsp,si
480fb7e7|movzx rsp,di
480fb7e8|movzx rbp,ax
480fb7e9|movzx rbp,cx
480fb7ea|movzx rbp,dx
480fb7eb|movzx rbp,bx
480fb7ec|movzx rbp,sp
480fb7ed|movzx rbp,bp
480fb7ee|movzx rbp,si
480fb7ef|movzx rbp,di
480fb7f0|movzx rsi,ax
480fb7f1|movzx rsi,cx
480fb7f2|movzx rsi,dx
480fb7f3|movzx rsi,bx
480fb7f4|movzx rsi,sp
480fb7f5|movzx rsi,bp
480fb7f6|movzx rsi,si
480fb7f7|movzx rsi,di
480fb7f8|movzx rdi,ax
480fb7f9|movzx rdi,cx
480fb7fa|movzx rdi,dx
480fb7fb|movzx rdi,bx
480fb7fc|movzx rdi,sp
480fb7fd|movzx rdi,bp
480fb7fe|movzx rdi,si
480fb7ff|movzx rdi,di
480fbae000|bt rax,0x0
480fbae100|bt rcx,0x0
480fbae300|bt rbx,0x0
480fbae400|bt rsp,0x0
480fbae500|bt rbp,0x0
480fbae600|bt rsi,0x0
480fbae700|bt rdi,0x0
480fbae800|bts rax,0x0
480fbae900|bts rcx,0x0
480fbaeb00|bts rbx,0x0
480fbaec00|bts rsp,0x0
480fbaed00|bts rbp,0x0
480fbaee00|bts rsi,0x0
480fbaef00|bts rdi,0x0
480fbaf000|btr rax,0x0
480fbaf100|btr rcx,0x0
480fbaf300|btr rbx,0x0
480fbaf400|btr rsp,0x0
480fbaf500|btr rbp,0x0
480fbaf600|btr rsi,0x0
480fbaf700|btr rdi,0x0
480fbaf800|btc rax,0x0
480fbaf900|btc rcx,0x0
480fbafb00|btc rbx,0x0
480fbafc00|btc rsp,0x0
480fbafd00|btc rbp,0x0
480fbafe00|btc rsi,0x0
480fbaff00|btc rdi,0x0
480fbb03|btc [rbx],rax
480fbb0424|btc [rsp],rax
480fbb042500000000|btc [0x0],rax
480fbb06|btc [rsi],rax
480fbb07|btc [rdi],rax
480fbb0b|btc [rbx],rcx
480fbb0c24|btc [rsp],rcx
480fbb0c2500000000|btc [0x0],rcx
480fbb0e|btc [rsi],rcx
480fbb0f|btc [rdi],rcx
480fbb1b|btc [rbx],rbx
480fbb1c24|btc [rsp],rbx
480fbb1c2500000000|btc [0x0],rbx
480fbb1e|btc [rsi],rbx
480fbb1f|btc [rdi],rbx
480fbb23|btc [rbx],rsp
480fbb2424|btc [rsp],rsp
480fbb242500000000|btc [0x0],rsp
480fbb26|btc [rsi],rsp
480fbb27|btc [rdi],rsp
480fbb2b|btc [rbx],rbp
480fbb2c24|btc [rsp],rbp
480fbb2c2500000000|btc [0x0],rbp
480fbb2e|btc [rsi],rbp
480fbb2f|btc [rdi],rbp
480fbb33|btc [rbx],rsi
480fbb3424|btc [rsp],rsi
480fbb342500000000|btc [0x0],rsi
480fbb36|btc [rsi],rsi
480fbb37|btc [rdi],rsi
480fbb3b|btc [rbx],rdi
480fbb3c24|btc [rsp],rdi
480fbb3c2500000000|btc [0x0],rdi
480fbb3e|btc [rsi],rdi
480fbb3f|btc [rdi],rdi
480fbb4500|btc [rbp],rax
480fbb4d00|btc [rbp],rcx
480fbb5d00|btc [rbp],rbx
480fbb6500|btc [rbp],rsp
480fbb6d00|btc [rbp],rbp
480fbb7500|btc [rbp],rsi
480fbb7d00|btc [rbp],rdi
480fbbc0|btc rax,rax
480fbbc1|btc rcx,rax
480fbbc3|btc rbx,rax
480fbbc4|btc rsp,rax
480fbbc5|btc rbp,rax
480fbbc6|btc rsi,rax
480fbbc7|btc rdi,rax
480fbbc8|btc rax,rcx
480fbbc9|btc rcx,rcx
480fbbcb|btc rbx,rcx
480fbbcc|btc rsp,rcx
480fbbcd|btc rbp,rcx
480fbbce|btc rsi,rcx
480fbbcf|btc rdi,rcx
480fbbd8|btc rax,rbx
480fbbd9|btc rcx,rbx
480fbbdb|btc rbx,rbx
480fbbdc|btc rsp,rbx
480fbbdd|btc rbp,rbx
480fbbde|btc rsi,rbx
480fbbdf|btc rdi,rbx
480fbbe0|btc rax,rsp
480fbbe1|btc rcx,rsp
480fbbe3|btc rbx,rsp
480fbbe4|btc rsp,rsp
480fbbe5|btc rbp,rsp
480fbbe6|btc rsi,rsp
480fbbe7|btc rdi,rsp
480fbbe8|btc rax,rbp
480fbbe9|btc rcx,rbp
480fbbeb|btc rbx,rbp
480fbbec|btc rsp,rbp
480fbbed|btc rbp,rbp
480fbbee|btc rsi,rbp
480fbbef|btc rdi,rbp
480fbbf0|btc rax,rsi
480fbbf1|btc rcx,rsi
480fbbf3|btc rbx,rsi
480fbbf4|btc rsp,rsi
480fbbf5|btc rbp,rsi
480fbbf6|btc rsi,rsi
480fbbf7|btc rdi,rsi
480fbbf8|btc rax,rdi
480fbbf9|btc rcx,rdi
480fbbfb|btc rbx,rdi
480fbbfc|btc rsp,rdi
480fbbfd|btc rbp,rdi
480fbbfe|btc rsi,rdi
480fbbff|btc rdi,rdi
480fbc03|bsf rax,[rbx]
480fbc0424|bsf rax,[rsp]
480fbc042500000000|bsf rax,[0x0]
480fbc06|bsf rax,[rsi]
480fbc07|bsf rax,[rdi]
480fbc0b|bsf rcx,[rbx]
480fbc0c24|bsf rcx,[rsp]
480fbc0c2500000000|bsf rcx,[0x0]
480fbc0e|bsf rcx,[rsi]
480fbc0f|bsf rcx,[rdi]
480fbc1b|bsf rbx,[rbx]
480fbc1c24|bsf rbx,[rsp]
480fbc1c2500000000|bsf rbx,[0x0]
480fbc1e|bsf rbx,[rsi]
480fbc1f|bsf rbx,[rdi]
480fbc23|bsf rsp,[rbx]
480fbc2424|bsf rsp,[rsp]
480fbc242500000000|bsf rsp,[0x0]
480fbc26|bsf rsp,[rsi]
480fbc27|bsf rsp,[rdi]
480fbc2b|bsf rbp,[rbx]
480fbc2c24|bsf rbp,[rsp]
480fbc2c2500000000|bsf rbp,[0x0]
480fbc2e|bsf rbp,[rsi]
480fbc2f|bsf rbp,[rdi]
480fbc33|bsf rsi,[rbx]
480fbc3424|bsf rsi,[rsp]
480fbc342500000000|bsf rsi,[0x0]
480fbc36|bsf rsi,[rsi]
480fbc37|bsf rsi,[rdi]
480fbc3b|bsf rdi,[rbx]
480fbc3c24|bsf rdi,[rsp]
480fbc3c2500000000|bsf rdi,[0x0]
480fbc3e|bsf rdi,[rsi]
480fbc3f|bsf rdi,[rdi]
480fbc4500|bsf rax,[rbp]
480fbc4d00|bsf rcx,[rbp]
480fbc5d00|bsf rbx,[rbp]
480fbc6500|bsf rsp,[rbp]
480fbc6d00|bsf rbp,[rbp]
480fbc7500|bsf rsi,[rbp]
480fbc7d00|bsf rdi,[rbp]
480fbcc0|bsf rax,rax
480fbcc1|bsf rax,rcx
480fbcc3|bsf rax,rbx
480fbcc4|bsf rax,rsp
480fbcc5|bsf rax,rbp
480fbcc6|bsf rax,rsi
480fbcc7|bsf rax,rdi
480fbcc8|bsf rcx,rax
480fbcc9|bsf rcx,rcx
480fbccb|bsf rcx,rbx
480fbccc|bsf rcx,rsp
480fbccd|bsf rcx,rbp
480fbcce|bsf rcx,rsi
480fbccf|bsf rcx,rdi
480fbcd8|bsf rbx,rax
480fbcd9|bsf rbx,rcx
480fbcdb|bsf rbx,rbx
480fbcdc|bsf rbx,rsp
480fbcdd|bsf rbx,rbp
480fbcde|bsf rbx,rsi
480fbcdf|bsf rbx,rdi
480fbce0|bsf rsp,rax
480fbce1|bsf rsp,rcx
480fbce3|bsf rsp,rbx
480fbce4|bsf rsp,rsp
480fbce5|bsf rsp,rbp
480fbce6|bsf rsp,rsi
480fbce7|bsf rsp,rdi
480fbce8|bsf rbp,rax
480fbce9|bsf rbp,rcx
480fbceb|bsf rbp,rbx
480fbcec|bsf rbp,rsp
480fbced|bsf rbp,rbp
480fbcee|bsf rbp,rsi
480fbcef|bsf rbp,rdi
480fbcf0|bsf rsi,rax
480fbcf1|bsf rsi,rcx
480fbcf3|bsf rsi,rbx
480fbcf4|bsf rsi,rsp
480fbcf5|bsf rsi,rbp
480fbcf6|bsf rsi,rsi
480fbcf7|bsf rsi,rdi
480fbcf8|bsf rdi,rax
480fbcf9|bsf rdi,rcx
480fbcfb|bsf rdi,rbx
480fbcfc|bsf rdi,rsp
480fbcfd|bsf rdi,rbp
480fbcfe|bsf rdi,rsi
480fbcff|bsf rdi,rdi
480fc103|xadd [rbx],rax
480fc10424|xadd [rsp],rax
480fc1042500000000|xadd [0x0],rax
480fc106|xadd [rsi],rax
480fc107|xadd [rdi],rax
480fc10b|xadd [rbx],rcx
480fc10c24|xadd [rsp],rcx
480fc10c2500000000|xadd [0x0],rcx
480fc10e|xadd [rsi],rcx
480fc10f|xadd [rdi],rcx
480fc11b|xadd [rbx],rbx
480fc11c24|xadd [rsp],rbx
480fc11c2500000000|xadd [0x0],rbx
480fc11e|xadd [rsi],rbx
480fc11f|xadd [rdi],rbx
480fc123|xadd [rbx],rsp
480fc12424|xadd [rsp],rsp
480fc1242500000000|xadd [0x0],rsp
480fc126|xadd [rsi],rsp
480fc127|xadd [rdi],rsp
480fc12b|xadd [rbx],rbp
480fc12c24|xadd [rsp],rbp
480fc12c2500000000|xadd [0x0],rbp
480fc12e|xadd [rsi],rbp
480fc12f|xadd [rdi],rbp
480fc133|xadd [rbx],rsi
480fc13424|xadd [rsp],rsi
480fc1342500000000|xadd [0x0],rsi
480fc136|xadd [rsi],rsi
480fc137|xadd [rdi],rsi
480fc13b|xadd [rbx],rdi
480fc13c24|xadd [rsp],rdi
480fc13c2500000000|xadd [0x0],rdi
480fc13e|xadd [rsi],rdi
480fc13f|xadd [rdi],rdi
480fc14500|xadd [rbp],rax
480fc14d00|xadd [rbp],rcx
480fc15d00|xadd [rbp],rbx
480fc16500|xadd [rbp],rsp
480fc16d00|xadd [rbp],rbp
480fc17500|xadd [rbp],rsi
480fc17d00|xadd [rbp],rdi
480fc1c0|xadd rax,rax
480fc1c1|xadd rcx,rax
480fc1c3|xadd rbx,rax
480fc1c4|xadd rsp,rax
480fc1c5|xadd rbp,rax
480fc1c6|xadd rsi,rax
480fc1c7|xadd rdi,rax
480fc1c8|xadd rax,rcx
480fc1c9|xadd rcx,rcx
480fc1cb|xadd rbx,rcx
480fc1cc|xadd rsp,rcx
480fc1cd|xadd rbp,rcx
480fc1ce|xadd rsi,rcx
480fc1cf|xadd rdi,rcx
480fc1d8|xadd rax,rbx
480fc1d9|xadd rcx,rbx
480fc1db|xadd rbx,rbx
480fc1dc|xadd rsp,rbx
480fc1dd|xadd rbp,rbx
480fc1de|xadd rsi,rbx
480fc1df|xadd rdi,rbx
480fc1e0|xadd rax,rsp
480fc1e1|xadd rcx,rsp
480fc1e3|xadd rbx,rsp
480fc1e4|xadd rsp,rsp
480fc1e5|xadd rbp,rsp
480fc1e6|xadd rsi,rsp
480fc1e7|xadd rdi,rsp
480fc1e8|xadd rax,rbp
480fc1e9|xadd rcx,rbp
480fc1eb|xadd rbx,rbp
480fc1ec|xadd rsp,rbp
480fc1ed|xadd rbp,rbp
480fc1ee|xadd rsi,rbp
480fc1ef|xadd rdi,rbp
480fc1f0|xadd rax,rsi
480fc1f1|xadd rcx,rsi
480fc1f3|xadd rbx,rsi
480fc1f4|xadd rsp,rsi
480fc1f5|xadd rbp,rsi
480fc1f6|xadd rsi,rsi
480fc1f7|xadd rdi,rsi
480fc1f8|xadd rax,rdi
480fc1f9|xadd rcx,rdi
480fc1fb|xadd rbx,rdi
480fc1fc|xadd rsp,rdi
480fc1fd|xadd rbp,rdi
480fc1fe|xadd rsi,rdi
480fc1ff|xadd rdi,rdi
 480fc8|bswap rax 
 480fc9|bswap rcx 
 480fcb|bswap rbx 
 480fcc|bswap rsp 
 480fcd|bswap rbp 
 480fce|bswap rsi 
 480fcf|bswap rdi 
481103|adc [rbx],rax
48110424|adc [rsp],rax
4811042500000000|adc [0x0],rax
481106|adc [rsi],rax
481107|adc [rdi],rax
48110b|adc [rbx],rcx
48110c24|adc [rsp],rcx
48110c2500000000|adc [0x0],rcx
48110e|adc [rsi],rcx
48110f|adc [rdi],rcx
48111b|adc [rbx],rbx
48111c24|adc [rsp],rbx
48111c2500000000|adc [0x0],rbx
48111e|adc [rsi],rbx
48111f|adc [rdi],rbx
481123|adc [rbx],rsp
48112424|adc [rsp],rsp
4811242500000000|adc [0x0],rsp
481126|adc [rsi],rsp
481127|adc [rdi],rsp
48112b|adc [rbx],rbp
48112c24|adc [rsp],rbp
48112c2500000000|adc [0x0],rbp
48112e|adc [rsi],rbp
48112f|adc [rdi],rbp
481133|adc [rbx],rsi
48113424|adc [rsp],rsi
4811342500000000|adc [0x0],rsi
481136|adc [rsi],rsi
481137|adc [rdi],rsi
48113b|adc [rbx],rdi
48113c24|adc [rsp],rdi
48113c2500000000|adc [0x0],rdi
48113e|adc [rsi],rdi
48113f|adc [rdi],rdi
48114500|adc [rbp],rax
48114d00|adc [rbp],rcx
48115d00|adc [rbp],rbx
48116500|adc [rbp],rsp
48116d00|adc [rbp],rbp
48117500|adc [rbp],rsi
48117d00|adc [rbp],rdi
4811c0|adc rax,rax
4811c1|adc rcx,rax
4811c3|adc rbx,rax
4811c4|adc rsp,rax
4811c5|adc rbp,rax
4811c6|adc rsi,rax
4811c7|adc rdi,rax
4811c8|adc rax,rcx
4811c9|adc rcx,rcx
4811cb|adc rbx,rcx
4811cc|adc rsp,rcx
4811cd|adc rbp,rcx
4811ce|adc rsi,rcx
4811cf|adc rdi,rcx
4811d8|adc rax,rbx
4811d9|adc rcx,rbx
4811db|adc rbx,rbx
4811dc|adc rsp,rbx
4811dd|adc rbp,rbx
4811de|adc rsi,rbx
4811df|adc rdi,rbx
4811e0|adc rax,rsp
4811e1|adc rcx,rsp
4811e3|adc rbx,rsp
4811e4|adc rsp,rsp
4811e5|adc rbp,rsp
4811e6|adc rsi,rsp
4811e7|adc rdi,rsp
4811e8|adc rax,rbp
4811e9|adc rcx,rbp
4811eb|adc rbx,rbp
4811ec|adc rsp,rbp
4811ed|adc rbp,rbp
4811ee|adc rsi,rbp
4811ef|adc rdi,rbp
4811f0|adc rax,rsi
4811f1|adc rcx,rsi
4811f3|adc rbx,rsi
4811f4|adc rsp,rsi
4811f5|adc rbp,rsi
4811f6|adc rsi,rsi
4811f7|adc rdi,rsi
4811f8|adc rax,rdi
4811f9|adc rcx,rdi
4811fb|adc rbx,rdi
4811fc|adc rsp,rdi
4811fd|adc rbp,rdi
4811fe|adc rsi,rdi
4811ff|adc rdi,rdi
481303|adc rax,[rbx]
48130424|adc rax,[rsp]
4813042500000000|adc rax,[0x0]
481306|adc rax,[rsi]
481307|adc rax,[rdi]
48130b|adc rcx,[rbx]
48130c24|adc rcx,[rsp]
48130c2500000000|adc rcx,[0x0]
48130e|adc rcx,[rsi]
48130f|adc rcx,[rdi]
48131b|adc rbx,[rbx]
48131c24|adc rbx,[rsp]
48131c2500000000|adc rbx,[0x0]
48131e|adc rbx,[rsi]
48131f|adc rbx,[rdi]
481323|adc rsp,[rbx]
48132424|adc rsp,[rsp]
4813242500000000|adc rsp,[0x0]
481326|adc rsp,[rsi]
481327|adc rsp,[rdi]
48132b|adc rbp,[rbx]
48132c24|adc rbp,[rsp]
